date,coin_target,post_count,vader_mean,finbert_mean,composite_mean,zscore_mean,weighted_mean,engagement_mean,upvotes_total,comments_total
2026-03-28,BNB,4,-0.150125,-0.0386315,-0.07207949999999999,-0.416702,-0.13312975,2.1610975,2,13
2026-03-28,BTC,72,0.2274652777777778,0.06760752777777779,0.11556486111111111,0.27538819444444446,0.5097363194444444,3.240087319444444,2364,763
2026-03-28,DOGE,7,0.3553857142857143,0.053524999999999996,0.144083,0.312506,0.7443695714285715,3.8814652857142855,186,72
2026-03-28,ETH,5,0.28162000000000004,0.20658300000000002,0.22909419999999997,0.732248,0.6812400000000001,3.5603654,18,18
2026-03-28,MARKET,247,0.13448947368421052,-0.08301885425101214,-0.017766376518218625,0.0839091133603239,-0.015054072874493915,3.164876663967611,23749,3082
2026-03-28,SHIB,1,0.5904,-0.013278,0.167825,0.169323,0.284153,1.693147,1,0
2026-03-28,SOL,23,0.15192173913043477,0.05696465217391304,0.08545173913043479,-0.15466682608695653,0.26585160869565216,2.777437260869565,37,43
2026-03-29,BNB,14,0.12341428571428571,0.01972407142857143,0.05083114285714286,0.014641142857142849,0.0938217142857143,1.9650514285714284,12,10
2026-03-29,BTC,72,0.25729583333333333,-0.009818930555555555,0.07031554166666666,0.101065375,0.35804122222222223,3.9457510833333327,3297,779
2026-03-29,DOGE,6,0.6286166666666667,0.10509799999999998,0.2621535,0.8829468333333333,1.7574926666666666,6.884413333333334,308,103
2026-03-29,ETH,8,0.36605,-0.0057705,0.10577575,0.23674775000000003,0.5906033749999999,3.7795337499999997,140,92
2026-03-29,MARKET,284,0.1179975352112676,-0.09640261971830985,-0.03208257394366197,0.034308816901408454,-0.09965889788732393,3.5341476549295776,20425,16739
2026-03-29,SHIB,2,0.4463,0.0982565,0.2026695,0.3345665,0.34314900000000004,1.693147,2,0
2026-03-29,SOL,33,0.3532818181818182,0.057845212121212124,0.1464761818181818,0.10239766666666666,0.5494017272727273,3.0014789696969695,85,103
2026-03-30,BNB,11,0.33153636363636363,-0.016839818181818185,0.08767300000000001,0.1439340909090909,0.05394009090909091,2.366649818181818,13,19
2026-03-30,BTC,74,0.19468513513513513,-0.03031028378378378,0.03718836486486486,-0.026556891891891893,0.3134841621621622,3.923807837837838,2639,1006
