date,post_count,vader_mean,finbert_mean,composite_mean,zscore_mean,weighted_mean
2025-10-18,22,0.3878727272727273,0.10081804545454545,0.18693440909090908,0.5905714545454545,0.9657773636363636
2025-10-19,123,0.2487292682926829,-0.010187357723577234,0.06748760162601626,0.15880660975609756,0.31821813008130084
2025-10-20,139,0.2767841726618705,0.010790820143884891,0.09058883453237411,0.24231076258992806,0.3909288273381295
2025-10-21,170,0.1990888235294118,-0.011790294117647057,0.051473429411764714,0.10092014705882352,0.33297280588235295
2025-10-22,132,0.18726818181818183,-0.03924087878787878,0.028711833333333332,0.018643689393939407,-0.1623034318181818
2025-10-23,136,0.20810882352941176,-0.007976411764705883,0.05684913235294117,0.12035176470588237,0.2371252279411765
2025-10-24,130,0.34053923076923076,-0.007332469230769231,0.09702901538461538,0.26559007692307696,0.38406396923076924
2025-10-25,143,0.18466993006993007,-0.005811447552447554,0.051332972027972025,0.10041239860139861,0.24541830069930068
2025-10-26,136,0.2368816176470588,-0.03353502941176471,0.047589963235294123,0.08688258088235293,0.2258537132352941
2025-10-27,155,0.22176258064516127,0.014329122580645164,0.07655914838709678,0.1915975548387097,0.3660472193548387
2025-10-28,153,0.2898797385620915,0.004473130718954248,0.09009514379084967,0.24052622875816995,0.26515260784313727
2025-10-29,147,0.19203809523809523,-0.04720234013605442,0.02456977551020408,0.003671401360544216,0.00612504081632653
2025-10-30,177,0.2531214689265537,-0.00491890395480226,0.07249324858757063,0.1769005593220339,0.28370197175141243
2025-10-31,159,0.24156855345911948,-0.016129301886792454,0.06118004402515723,0.13600667295597482,0.28394790566037736
2025-11-01,120,0.2809291666666667,0.007187658333333333,0.08931008333333333,0.23768839166666667,0.47700447500000004
2025-11-02,132,0.13815378787878788,-0.12666841666666664,-0.04722181060606061,-0.2558340378787879,-0.08401324242424242
2025-11-03,157,0.16342292993630572,0.013074312101910828,0.05817891719745223,0.12515849044585986,0.22703644585987262
2025-11-04,291,0.1001364261168385,-0.13914100687285222,-0.06735781099656357,-0.32861961512027493,-0.33730584536082475
2025-11-05,207,0.16674830917874395,-0.052902396135265706,0.012992840579710145,-0.03817583091787439,-0.0014266714975845558
2025-11-06,160,0.18809125,-0.06058938125,0.01401481875,-0.034481675,0.01648784375
2025-11-07,179,0.20466033519553073,-0.05518924581005587,0.022765608938547486,-0.002850117318435754,0.08211957541899441
2025-11-08,121,0.19100330578512398,-0.015201735537190085,0.04665973553719008,0.0835200909090909,0.19881471074380166
2025-11-09,124,0.24031048387096773,-0.04961721774193548,0.037361096774193546,0.04990827419354839,0.25445393548387096
2025-11-10,136,0.13801617647058823,-0.02783381617647059,0.021921169117647056,-0.005902507352941176,0.18223879411764707
2025-11-11,166,0.2141343373493976,-0.017475084337349397,0.05200775903614458,0.10285157228915662,0.17703048795180723
2025-11-12,150,0.20307,-0.04451932,0.029757466666666666,0.02242335999999999,0.06667446666666665
2025-11-13,189,0.16571957671957674,-0.026228761904761904,0.03135571957671957,0.028200555555555555,0.19278419047619047
2025-11-14,258,0.15307093023255813,-0.10570877519379845,-0.02807488372093023,-0.18662341472868216,-0.09161205813953488
2025-11-15,162,0.11707222222222223,-0.0667863888888889,-0.011628820987654321,-0.1271757962962963,-0.025734666666666663
2025-11-16,182,0.1259478021978022,-0.06705581318681318,-0.009154708791208792,-0.1182325879120879,-0.09584907142857142
2025-11-17,241,0.25092738589211616,-0.017586473029045643,0.06296770124481328,0.14246855186721993,0.2108529917012448
2025-11-18,311,0.12485369774919615,-0.08869213183279742,-0.0246283729903537,-0.17416531832797427,-0.16209916077170416
2025-11-19,232,0.20308965517241379,-0.06125181465517242,0.018050603448275863,-0.019893469827586212,0.0063086422413793095
2025-11-20,295,0.15974813559322035,-0.05666140338983051,0.008261430508474577,-0.055278464406779665,0.06383813559322035
2025-11-21,455,0.12964989010989011,-0.07801993406593408,-0.015719,-0.14196056263736265,-0.10663617582417582
2025-11-22,167,0.13586407185628743,-0.08705455089820359,-0.02017897005988024,-0.15808203592814374,0.034456742514970065
2026-01-16,99,0.169169696969697,-0.06367468686868687,0.006178575757575756,0.038638717171717164,0.08500499999999998
2026-01-17,505,0.19131623762376238,-0.03976289306930693,0.029560843564356433,0.12396068316831682,0.09773267128712873
2026-01-18,470,0.1620444680851064,-0.03109462978723404,0.026847093617021277,0.10078934468085107,0.11515498297872341
2026-01-19,616,0.11649025974025973,-0.09319806168831168,-0.030291599025974024,-0.09407036363636363,-0.11543581331168833
2026-01-20,695,0.14423525179856114,-0.03376111942446043,0.019637774100719426,0.08737263309352518,0.06744279712230217
2026-01-21,747,0.14895274431057565,-0.031024148594377507,0.02296889156626506,0.0823541017402945,0.10787981258366801
2026-01-22,717,0.16685411436541145,-0.03095492189679219,0.028387772663877268,0.11524351324965132,0.08335287726638772
2026-01-23,588,0.19711190476190477,-0.028355874149659864,0.039284455782312926,0.15214572278911564,0.18278653571428571
2026-01-24,525,0.1867737142857143,-0.03556792,0.03113454285714286,0.10597040190476191,0.12499225904761904
2026-01-25,528,0.20374545454545456,-0.03439598484848485,0.03704646780303031,0.12605523106060607,0.15198691666666667
2026-01-26,631,0.18641537242472267,-0.01581730110935024,0.0448524881141046,0.1730737179080824,0.2500779207606973
2026-01-27,635,0.18921937007874018,-0.04824673858267717,0.022993088188976375,0.09240174330708661,0.061166275590551177
2026-01-28,749,0.16196688918558078,-0.04035920293724967,0.02033862349799733,0.09411460480640854,0.015937263017356477
2026-01-29,856,0.1338321261682243,-0.03491150467289719,0.01571157242990654,0.070596238317757,0.08923033177570093
2026-01-30,921,0.13953061889250815,-0.055076755700325726,0.0033054419109663402,0.04282013789359392,-0.04702290445168295
2026-01-31,795,0.11832943396226416,-0.08457603144654087,-0.023704377358490566,-0.08482139496855345,-0.16327789811320753
2026-02-01,633,0.12717709320695103,-0.07325156872037915,-0.013122976303317536,-0.037167041074249604,-0.06363520853080569
2026-02-02,861,0.1452116144018583,-0.07347907897793264,-0.007871882694541232,-0.017361599303135886,-0.027356700348432055
2026-02-03,756,0.14488822751322752,-0.06626747486772487,-0.002920771164021164,0.01238036111111111,-0.07847672619047619
2026-02-04,845,0.13165491124260356,-0.08085719053254438,-0.017103576331360948,-0.045856575147929,-0.06300426982248522
2026-02-05,1547,0.08250827407886231,-0.11237661473820297,-0.053911146089204914,-0.21042775307045894,-0.2602551693600517
2026-02-06,1201,0.10339000832639468,-0.10343782597835138,-0.04138949042464613,-0.14428294504579517,-0.22891667610324729
2026-02-07,603,0.17787893864013266,-0.0696660928689884,0.004597398009950248,0.016175842454394695,0.018345815920398016
2026-02-08,628,0.13819633757961783,-0.07463045063694267,-0.010782431528662421,-0.03946430573248408,-0.029091617834394904
2026-02-09,687,0.15803377001455604,-0.06457684861717612,0.0022063173216885002,0.008217446870451237,0.022899391557496363
2026-02-10,715,0.12791132867132865,-0.0638395818181818,-0.006314310489510489,-0.017172762237762235,0.009064234965034964
2026-02-11,715,0.14919104895104895,-0.07843273566433566,-0.010145633566433568,-0.03170791188811188,-0.06432269090909092
2026-02-12,751,0.154545672436751,-0.06893482822902795,-0.0018906977363515314,0.01723939946737683,-0.02699250998668443
2026-02-13,636,0.17450911949685532,-0.05074056761006289,0.016834325471698112,0.07770976257861635,0.0509893317610063
2026-02-14,472,0.1683686440677966,-0.039121836864406775,0.02312530720338983,0.08026637711864405,0.04869669491525423
2026-02-15,426,0.17342323943661972,-0.055364492957746474,0.01327181455399061,0.0465971103286385,0.06057513615023474
2026-02-16,555,0.16735423423423423,-0.0318832054054054,0.027888023423423423,0.11184498198198198,0.07338909369369369
2026-02-17,605,0.15629438016528924,-0.031680976859504134,0.024711631404958675,0.0957033090909091,0.1165333520661157
2026-02-18,622,0.12227057877813505,-0.026841866559485526,0.01789186655948553,0.06963593569131832,0.06415915273311898
2026-02-19,613,0.14052039151712886,-0.021695659053833603,0.026969133768352364,0.08674030995106036,0.1385765709624796
2026-02-20,699,0.09923705293276108,-0.10139141344778255,-0.04120288125894135,-0.12660242060085836,-0.12720238769670958
2026-02-21,427,0.1383744730679157,-0.035227779859484776,0.016852882903981264,0.07960079156908666,0.11357580093676815
2026-02-22,459,0.10486165577342048,-0.08179172766884532,-0.025795718954248367,-0.0995870697167756,-0.0691564945533769
2026-02-23,703,0.14226159317211948,-0.0717457027027027,-0.007543527738264581,-0.010347386913229017,-0.0755019772403983
2026-02-24,697,0.12456929698708752,-0.06608510043041607,-0.008888812051649929,-0.012492507890961261,-0.04481797847919655
2026-02-25,707,0.11326322489391796,-0.04939240735502121,-0.0005957567185289979,0.012824258840169727,0.0869623917963225
2026-02-26,667,0.1318463268365817,-0.06530869265367317,-0.006162215892053974,-0.004454035982008999,-0.002840235382308839
2026-02-27,612,0.1260732026143791,-0.05823004738562092,-0.0029390800653594784,0.008948803921568627,0.00459077450980393
2026-02-28,512,0.0802111328125,-0.0872790859375,-0.03703201953125,-0.129906775390625,-0.23492467382812499
2026-03-01,487,0.08985728952772074,-0.067809659137577,-0.020509591375770023,-0.0802182135523614,-0.037776993839835724
2026-03-02,608,0.14808848684210527,-0.048786550986842106,0.010275939144736842,0.05539535361842105,-0.00278073026315789
2026-03-03,636,0.0905745283018868,-0.06421917295597483,-0.01778108490566038,-0.02841561006289308,-0.052089316037735846
2026-03-04,636,0.11746116352201257,-0.05724275471698113,-0.004831599056603775,-0.003756608490566038,-0.013875080188679244
2026-03-05,581,0.1370908777969019,-0.04027280206540447,0.012936278829604131,0.07251505507745266,0.056525345955249565
2026-03-06,624,0.13797451923076923,-0.05525774198717949,0.0027119214743589726,0.03411381891025641,0.03519629006410257
2026-03-07,532,0.12898665413533836,-0.055215203007518796,4.533458646616398e-05,0.0027604999999999995,-0.02438943609022557
2026-03-08,462,0.11694112554112554,-0.0740454935064935,-0.016749521645021647,-0.03629810173160173,-0.01957020995670995
2026-03-09,700,0.11582042857142859,-0.08446245,-0.02437759857142857,-0.042193328571428566,-0.04193733285714286
2026-03-10,658,0.1353033434650456,-0.04396919452887538,0.00981255623100304,0.05940217325227964,0.024117013677811553
2026-03-11,646,0.12406981424148607,-0.09047482817337461,-0.026111462848297212,-0.05660276470588236,-0.05182971517027863
2026-03-12,599,0.13259682804674458,-0.07271472287145242,-0.011121288814691151,-0.007870781302170287,-0.010201045075125207
2026-03-13,642,0.0530107476635514,-0.08893239252336448,-0.04634946573208723,-0.12875266978193145,-0.23564151713395637
2026-03-14,504,0.11711150793650794,-0.07408207341269842,-0.01672402777777778,-0.025633563492063496,-0.01141469642857143
2026-03-15,446,0.14011973094170405,-0.05450302914798206,0.0038837914798206265,0.024077843049327353,0.05011655829596413
2026-03-16,618,0.14018042071197412,-0.03925710194174757,0.014574135922330098,0.06755107443365696,0.13198916181229775
2026-03-17,569,0.1306578207381371,-0.02690763971880492,0.020361980667838314,0.08646071880492091,0.13778115992970125
2026-03-18,629,0.11575548489666136,-0.07432068203497616,-0.017297868044515104,-0.031940888712241655,-0.0178461987281399
2026-03-19,590,0.08414237288135593,-0.10389044576271186,-0.047480625423728814,-0.11988392203389832,-0.2257553118644068
2026-03-20,623,0.11652006420545746,-0.09649878170144462,-0.03259315730337079,-0.07536202407704655,-0.10498299839486357
2026-03-21,456,0.11867149122807018,-0.04524854824561403,0.003927445175438596,0.02592553289473684,0.06626815789473685
2026-03-22,492,0.15864126016260163,-0.0685165650406504,-0.0003692621951219518,0.01851043699186992,-0.048758119918699175
2026-03-23,802,0.10266720698254364,-0.07434514713216957,-0.021241453865336657,-0.04897955610972569,-0.10737766957605985
2026-03-24,722,0.14205373961218837,-0.05506007894736842,0.004074044321329639,0.03841793074792244,-0.01078341689750693
2026-03-25,648,0.16587067901234567,-0.060026299382716045,0.007742763888888888,0.0492954274691358,0.00633079475308642
2026-03-26,701,0.13520171184022825,-0.08204095720399429,-0.016868195435092728,-0.01742959486447931,-0.09189947218259628
2026-03-27,655,0.12387557251908399,-0.11954763053435113,-0.04652069618320611,-0.1262206748091603,-0.1910492183206107
2026-03-28,465,0.15846967741935483,-0.045668255913978495,0.015573101075268818,0.07683281505376344,0.06555171612903227
2026-03-29,419,0.17426109785202865,-0.05995069451073985,0.010312849642004773,0.05922092124105012,0.07846225059665872
2026-03-30,602,0.08897441860465116,-0.0893131511627907,-0.035826906976744184,-0.10298061794019933,-0.11559934717607973
2026-03-31,666,0.10212447447447447,-0.07997704354354354,-0.025346606606606606,-0.06593977327327327,-0.0884287012012012
