indicator,indicator_name,date,open,high,low,close,volume
SP500,S&P 500,2025-10-06,6733.85986328125,6749.52001953125,6717.77978515625,6740.27978515625,5604460000.0
SP500,S&P 500,2025-10-07,6746.14013671875,6754.490234375,6699.9599609375,6714.58984375,5546150000.0
SP500,S&P 500,2025-10-08,6723.8701171875,6755.64013671875,6718.08984375,6753.72021484375,5383130000.0
SP500,S&P 500,2025-10-09,6760.5,6764.580078125,6716.169921875,6735.10986328125,5385020000.0
SP500,S&P 500,2025-10-10,6740.490234375,6762.39990234375,6550.77978515625,6552.509765625,6596610000.0
SP500,S&P 500,2025-10-13,6622.52978515625,6668.68017578125,6620.7099609375,6654.72021484375,5303960000.0
SP500,S&P 500,2025-10-14,6602.490234375,6680.7001953125,6555.06982421875,6644.31005859375,5666920000.0
SP500,S&P 500,2025-10-15,6688.27001953125,6724.1201171875,6612.10986328125,6671.06005859375,5633060000.0
SP500,S&P 500,2025-10-16,6689.02001953125,6709.33984375,6593.990234375,6629.06982421875,6048180000.0
SP500,S&P 500,2025-10-17,6613.27001953125,6678.8798828125,6603.759765625,6664.009765625,5358120000.0
SP500,S&P 500,2025-10-20,6690.0498046875,6744.35009765625,6690.0498046875,6735.1298828125,4672170000.0
SP500,S&P 500,2025-10-21,6736.75,6752.16015625,6722.02978515625,6735.35009765625,5245020000.0
SP500,S&P 500,2025-10-22,6741.33984375,6741.75,6655.68994140625,6699.39990234375,5710010000.0
SP500,S&P 500,2025-10-23,6703.64990234375,6749.52978515625,6700.14013671875,6738.43994140625,5565750000.0
SP500,S&P 500,2025-10-24,6772.06982421875,6807.10986328125,6772.06982421875,6791.68994140625,5058220000.0
SP500,S&P 500,2025-10-27,6845.4599609375,6877.27978515625,6843.93994140625,6875.16015625,5290650000.0
SP500,S&P 500,2025-10-28,6897.740234375,6911.2998046875,6870.72998046875,6890.89013671875,5695930000.0
SP500,S&P 500,2025-10-29,6910.9501953125,6920.33984375,6851.91015625,6890.58984375,6280130000.0
SP500,S&P 500,2025-10-30,6860.5,6880.75,6820.68994140625,6822.33984375,6052700000.0
SP500,S&P 500,2025-10-31,6879.169921875,6879.169921875,6814.259765625,6840.2001953125,6398280000.0
SP500,S&P 500,2025-11-03,6882.31982421875,6882.31982421875,6820.6201171875,6851.97021484375,6065720000.0
SP500,S&P 500,2025-11-04,6788.52001953125,6820.2099609375,6766.7099609375,6771.5498046875,5739510000.0
SP500,S&P 500,2025-11-05,6769.77001953125,6829.77978515625,6763.10986328125,6796.2900390625,5939600000.0
SP500,S&P 500,2025-11-06,6787.58984375,6796.68017578125,6707.509765625,6720.31982421875,6051900000.0
SP500,S&P 500,2025-11-07,6696.18017578125,6730.10986328125,6631.43994140625,6728.7998046875,5926070000.0
SP500,S&P 500,2025-11-10,6785.35986328125,6841.31982421875,6770.56005859375,6832.43017578125,5366050000.0
SP500,S&P 500,2025-11-11,6815.64013671875,6855.1298828125,6806.8701171875,6846.60986328125,4983490000.0
SP500,S&P 500,2025-11-12,6867.77001953125,6869.91015625,6829.6201171875,6850.919921875,5293610000.0
SP500,S&P 500,2025-11-13,6826.47021484375,6828.0498046875,6724.72021484375,6737.490234375,5473720000.0
SP500,S&P 500,2025-11-14,6672.14013671875,6774.31005859375,6646.8701171875,6734.10986328125,5042660000.0
SP500,S&P 500,2025-11-17,6713.60986328125,6754.5,6638.89990234375,6672.41015625,5204220000.0
SP500,S&P 500,2025-11-18,6641.18994140625,6666.6298828125,6574.31982421875,6617.31982421875,5159390000.0
